OTU_ID	run1-Lj105-rep1	run1-Lj105-rep2	run1-Lj105-rep3	run2-Lj105-rep1	run2-Lj105-rep2	run2-Lj105-rep3	run3-Lj105-rep1	run3-Lj105-rep2	run3-Lj105-rep3	run2-nbh94	run2-nbh96	taxonomy
SH203249.07FU_AB481277_reps	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Cortinariaceae;g__Cortinarius;s__Cortinarius croceus
SH104364.07FU_AF444437_refs	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Incertae sedis;g__Helgardia;s__Helgardia sp
SH217007.07FU_FN812783_reps	0	0	0	0	0	0	0	0	0	7	0	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Xylariaceae;g__Xylaria;s__Xylaria sp
SH194197.07FU_JN899353_refs	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Aspergillus;s__Aspergillus tubingensis
SH192597.07FU_HM069367_reps	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__Fusarium albosuccineum
SH194013.07FU_AF444400_refs	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Cordycipitaceae;g__Lecanicillium;s__Lecanicillium dimorphum
SH212431.07FU_EU553281_reps	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Incertae sedis;g__Fellomyces;s__Fellomyces lichenicola
SH272865.07FU_AF220959_refs	0	0	0	0	0	0	0	0	0	16	0	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__unidentified;g__unidentified;s__Eurotiales sp
SH194195.07FU_JN899318_refs	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__unidentified;s__Trichocomaceae sp
SH202982.07FU_EU563596_reps	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__unidentified;s__Nectriaceae sp
SH201720.07FU_KF823596_reps	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Hymenochaetales;f__Schizoporaceae;g__Hyphodontia;s__Hyphodontia crustosa
SH090427.07FU_KJ490630_refs	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Lactarius;s__Lactarius gracilis
SH217409.07FU_UDB013336_refs	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Diaporthales;f__Gnomoniaceae;g__Gnomonia;s__Gnomonia virginianae
SH175915.07FU_KF551247_reps	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Xylariaceae;g__Xylaria;s__Xylaria bambusicola
SH180503.07FU_HQ153043_reps	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Paraglomerales;f__unidentified;g__unidentified;s__Paraglomerales sp
SH135194.07FU_UDB021419_refs	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Agaricaceae;g__Lepiota;s__Lepiota alopochroa
SH186783.07FU_HQ533816_refs	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__unidentified;f__unidentified;g__unidentified;s__Leotiomycetes sp
SH195067.07FU_JQ761642_reps	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Septoglomus;s__Septoglomus viscosum
SH397101.07FU_EF661193_refs	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Cystofilobasidiales;f__Cystofilobasidiaceae;g__Udeniomyces;s__Udeniomyces pyricola
SH209895.07FU_HQ897788_reps	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Incertae sedis;f__Glomerellaceae;g__Colletotrichum;s__Colletotrichum citri
SH212425.07FU_AJ292429_refs	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Peniophoraceae;g__Peniophora;s__Peniophora sp
SH176359.07FU_AJ608655_refs	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__Fungi sp
SH182552.07FU_KF673624_reps	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__unidentified;g__unidentified;s__Xylariales sp
SH182490.07FU_KJ123918_reps	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;p__Basidiomycota;c__Exobasidiomycetes;o__Exobasidiales;f__Exobasidiaceae;g__Exobasidium;s__Exobasidium formosanum
SH200825.07FU_HQ897816_reps	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__unidentified;f__unidentified;g__unidentified;s__Leotiomycetes sp
SH185939.07FU_KC460312_reps	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__unidentified;f__unidentified;g__unidentified;s__Dothideomycetes sp
SH220137.07FU_KF433015_reps	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Xylariaceae;g__unidentified;s__Xylariaceae sp
SH207385.07FU_EU254801_refs	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Cercospora;s__Cercospora olivascens
SH199085.07FU_KF381074_reps	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Incertae sedis;g__Hyphodiscus;s__Hyphodiscus hymeniophilus
SH194693.07FU_DQ400289_reps	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;g__Podospora;s__Podospora intestinacea
SH077478.07FU_HQ647294_refs_singleton	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Incertae sedis;g__Myrothecium;s__Myrothecium sp
SH201618.07FU_FJ552896_reps	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Incertae sedis;f__Apiosporaceae;g__Arthrinium;s__Arthrinium sp
